Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR7821918_1	SRR7821918_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36220112.0	2.7 Gbp	0.0	76.0	49.0	46.38265439109369	76.0	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
SRR7821918_2	SRR7821918_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36220112.0	2.7 Gbp	0.0	76.0	50.0	41.23209455698935	76.0	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
SRR7821919_1	SRR7821919_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36285942.0	2.7 Gbp	0.0	76.0	50.0	47.84866887211262	76.0	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
SRR7821919_2	SRR7821919_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36285942.0	2.7 Gbp	0.0	76.0	50.0	42.85082075175413	76.0	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
SRR7821920_1	SRR7821920_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39982873.0	3 Gbp	0.0	76.0	50.0	43.07436482529657	76.0	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
SRR7821920_2	SRR7821920_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39982873.0	3 Gbp	0.0	76.0	50.0	38.56619055810695	76.0	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
SRR7821921_1	SRR7821921_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40592768.0	3 Gbp	0.0	76.0	49.0	49.18419212706091	76.0	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
SRR7821921_2	SRR7821921_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40592768.0	3 Gbp	0.0	76.0	49.0	43.02508996751623	76.0	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
SRR7821922_1	SRR7821922_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37737087.0	2.8 Gbp	0.0	76.0	49.0	47.906179966031715	76.0	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
SRR7821922_2	SRR7821922_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37737087.0	2.8 Gbp	0.0	76.0	50.0	44.29346137681749	76.0	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
SRR7821923_1	SRR7821923_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38564395.0	2.9 Gbp	0.0	76.0	50.0	46.553882113463494	76.0	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
SRR7821923_2	SRR7821923_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38564395.0	2.9 Gbp	0.0	76.0	51.0	39.90537421880596	76.0	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
SRR7821924_1	SRR7821924_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54744146.0	4.1 Gbp	0.0	76.0	49.0	47.60542576961469	76.0	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
SRR7821924_2	SRR7821924_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54744146.0	4.1 Gbp	0.0	76.0	50.0	40.51459734402551	76.0	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
SRR7821925_1	SRR7821925_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34754674.0	2.6 Gbp	0.0	76.0	49.0	49.00908162999562	76.0	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
SRR7821925_2	SRR7821925_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34754674.0	2.6 Gbp	0.0	76.0	49.0	45.41572761603298	76.0	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
SRR7821927_1	SRR7821927_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31608859.0	2.4 Gbp	0.0	76.0	50.0	53.08743346768245	76.0	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
SRR7821927_2	SRR7821927_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31608859.0	2.4 Gbp	0.0	76.0	50.0	46.64909198809355	76.0	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
