Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR7821918_1	53.61734560890631	49.0	76.0	20.0	36220112.0
SRR7821918_2	58.76790544301065	50.0	76.0	10.0	36220112.0
SRR7821919_1	52.15133112788738	50.0	76.0	20.0	36285942.0
SRR7821919_2	57.14917924824587	50.0	76.0	10.0	36285942.0
SRR7821920_1	56.92563517470343	50.0	76.0	20.0	39982873.0
SRR7821920_2	61.43380944189305	50.0	76.0	10.0	39982873.0
SRR7821921_1	50.81580787293909	49.0	76.0	20.0	40592768.0
SRR7821921_2	56.97491003248377	49.0	76.0	10.0	40592768.0
SRR7821922_1	52.093820033968285	49.0	76.0	20.0	37737087.0
SRR7821922_2	55.70653862318251	50.0	76.0	10.0	37737087.0
SRR7821923_1	53.446117886536506	50.0	76.0	20.0	38564395.0
SRR7821923_2	60.09462578119404	51.0	76.0	10.0	38564395.0
SRR7821924_1	52.39457423038531	49.0	76.0	20.0	54744146.0
SRR7821924_2	59.48540265597449	50.0	76.0	10.0	54744146.0
SRR7821925_1	50.99091837000438	49.0	76.0	20.0	34754674.0
SRR7821925_2	54.58427238396702	49.0	76.0	10.0	34754674.0
SRR7821927_1	46.91256653231755	50.0	76.0	10.0	31608859.0
SRR7821927_2	53.35090801190645	50.0	76.0	10.0	31608859.0
SRR7821937_1	62.03606964850456	50.0	76.0	20.0	44881449.0
SRR7821937_2	59.87861771804295	50.0	76.0	10.0	44881449.0
SRR7821938_1	64.07392691013997	53.0	76.0	20.0	40988016.0
SRR7821938_2	60.34011534780141	53.0	76.0	10.0	40988016.0
SRR7821939_1	61.84940860112764	49.0	76.0	20.0	46697727.0
SRR7821939_2	60.030008411321596	49.0	76.0	10.0	46697727.0
SRR7821940_1	61.60898563993646	50.0	76.0	20.0	36802873.0
SRR7821940_2	58.49140344815029	50.0	76.0	10.0	36802873.0
SRR7821941_1	61.70861289818396	50.0	76.0	20.0	39406044.0
SRR7821941_2	59.25382640361068	50.0	76.0	10.0	39406044.0
SRR7821942_1	59.10508075528932	50.0	76.0	20.0	44301194.0
SRR7821942_2	57.87275878745047	50.0	76.0	10.0	44301194.0
